id,source,region,zone,station_id,longitude,latitude,year,crab_id,sex,cw,ch,crpc_len,log_cw,log_ch
NEFSC_201804010200070115_179886_2522,NEFSC,NA,MAB,201804010200070115,-72.703047,39.65208,2018,179886,M,16.87,3.93,11.8,2.825536896557877,1.3686394258811698
NEFSC_201702012600010373_176183_2016,NEFSC,NA,GOM_OFF,201702012600010373,-70.285005,42.69497,2017,176183,M,16.96,2.97,11.82,2.830857630363757,1.0885619528146082
NEFSC_201504013800070419_223966_651,NEFSC,NA,GOM_OFF,201504013800070419,-69.785093,43.479095,2015,223966,M,17.28,3.52,11.75,2.8495497633759097,1.2584609896100056
NEFSC_201504012400020355_224048_451,NEFSC,NA,GOM_OFF,201504012400020355,-69.412035,41.701792,2015,224048,M,17.6,3.56,11.17,2.8678989020441064,1.269760544863939
NEFSC_201902011800040278_166105_2820,NEFSC,NA,GB,201902011800040278,-65.8351,41.988946999999996,2019,166105,M,17.8,3.98,13.43,2.8791984572980396,1.3812818192963463
NEFSC_201604012400080210_219341_1270,NEFSC,NA,GOM_OFF,201604012400080210,-69.091248,41.273007,2016,219341,M,17.87,3.73,11.61,2.8831233291713367,1.3164082336557241
NEFSC_201902013000010338_166304_2865,NEFSC,NA,GOM_OFF,201902013000010338,-67.166167,42.387167,2019,166304,M,17.97,3.47,12.74,2.8887037007954675,1.244154593958768
NEFSC_201804012600020290_179568_2725,NEFSC,NA,GOM_OFF,201804012600020290,-70.15075,42.793276999999996,2018,179568,M,18.12,3.84,13.29,2.8970163006148333,1.3454723665996355
NEFSC_201604012400040378_219355_1550,NEFSC,NA,GOM_OFF,201604012400040378,-68.71791499999999,41.940121999999995,2016,219355,M,18.21,3.46,12.75,2.9019708937395166,1.2412685890696329
NEFSC_201702036500010383_176185_2031,NEFSC,NA,GOM_IN,201702036500010383,-70.66275,42.302800000000005,2017,176185,M,18.22,3.51,13.34,2.9025198918318122,1.2556160374777743
NEFSC_201804012400070249_179812_2639,NEFSC,NA,GOM_OFF,201804012400070249,-68.947238,41.588802,2018,179812,M,18.37,3.61,12.68,2.9107188992270343,1.2837077723447896
NEFSC_201602012600050361_924817_1160,NEFSC,NA,GOM_OFF,201602012600050361,-70.061132,42.927492,2016,924817,M,18.41,3.46,11.52,2.9128939952449864,1.2412685890696329
NEFSC_201704012200030053_84133_2147,NEFSC,NA,GB,201704012200030053,-66.361217,42.150242999999996,2017,84133,M,18.58,4.26,13.11,2.922085733385692,1.449269160281279
NEFSC_201602016600030052_925126_691,NEFSC,NA,MAB,201602016600030052,-74.535533,37.403092,2016,925126,M,18.61,3.98,14.19,2.9236990706541595,1.3812818192963463
NEFSC_201702013600060332_175964_1872,NEFSC,NA,GOM_OFF,201702013600060332,-68.088167,42.9715,2017,175964,M,18.63,4.02,12.4,2.924773184613497,1.3912819026309295
NEFSC_201804010200070115_179883_2523,NEFSC,NA,MAB,201804010200070115,-72.703047,39.65208,2018,179883,M,18.63,4.25,13.75,2.924773184613497,1.4469189829363254
NEFSC_201902011600120286_166163_2842,NEFSC,NA,GB,201902011600120286,-66.180545,42.020828,2019,166163,M,18.65,4.63,14.09,2.9258461460898246,1.5325568680981427
NEFSC_201504013800070419_223967_652,NEFSC,NA,GOM_OFF,201504013800070419,-69.785093,43.479095,2015,223967,M,18.71,3.93,12.01,2.9290581402859983,1.3686394258811698
NEFSC_201702013510010346_175959_1918,NEFSC,NA,GOM_OFF,201702013510010346,-66.916018,44.109825,2017,175959,M,18.81,2.92,13.16,2.934388643312939,1.0715836162801904
NEFSC_201902036400030403_166198_2969,NEFSC,NA,GOM_IN,201902036400030403,-70.788833,42.397667,2019,166198,M,18.86,3.47,13.73,2.937043277205311,1.244154593958768
NEFSC_201702012400070228_175981_1756,NEFSC,NA,GOM_OFF,201702012400070228,-68.54050000000001,41.631667,2017,175981,M,18.88,4.75,12.94,2.9381031607173544,1.55814461804655
NEFSC_201702013510030347_176058_1923,NEFSC,NA,GOM_OFF,201702013510030347,-66.927993,44.230387,2017,176058,M,18.91,3.97,13.3,2.9396908826703663,1.3787660946990992
NEFSC_201702012600040376_176097_2022,NEFSC,NA,GOM_OFF,201702012600040376,-70.563727,42.467245,2017,176097,M,18.95,4.13,12.52,2.9418039315284354,1.4182774069729414
NEFSC_201602012600050361_924816_1159,NEFSC,NA,GOM_OFF,201602012600050361,-70.061132,42.927492,2016,924816,M,18.97,4.56,14.4,2.9428587839469227,1.5173226235262947
NEFSC_201704012400060170_84341_2243,NEFSC,NA,GOM_OFF,201704012400060170,-69.09567,41.349273,2017,84341,M,18.99,3.64,14.02,2.9439125248241944,1.2919836816486494
MassDMF_2017_6_26_Direction_S062217-04_7778,MassDMF,GB,GB,2017_6_26_Direction,-66.3509,41.14391,2017,S062217-04,M,19,4,NA,2.9444389791664403,1.3862943611198906
NEFSC_201602013510040329_924898_965,NEFSC,NA,GOM_OFF,201602013510040329,-66.82465499999999,44.303667999999995,2016,924898,M,19.05,4.15,14.31,2.94706710157271,1.423108334242607
NEFSC_201702012900020278_175918_1775,NEFSC,NA,GOM_OFF,201702012900020278,-66.450833,42.239332999999995,2017,175918,M,19.1,4.2,12.93,2.9496883350525844,1.4350845252893227
NEFSC_201804012400050253_179839_2653,NEFSC,NA,GOM_OFF,201804012400050253,-69.08451,41.928211999999995,2018,179839,M,19.15,4.01,13.91,2.952302715626655,1.3887912413184778
NEFSC_201804036500060300_179552_2736,NEFSC,NA,GOM_IN,201804036500060300,-70.576973,42.230005,2018,179552,M,19.17,4.99,15.6,2.9533465570575532,1.6074359097634274
NEFSC_201802010500010065_118614_2254,NEFSC,NA,SNE_IN,201802010500010065,-72.341923,40.797906999999995,2018,118614,M,19.29,3.9,13.96,2.9595868269176377,1.3609765531356006
NEFSC_201702013800020354_176228_1946,NEFSC,NA,GOM_OFF,201702013800020354,-68.244517,43.687618,2017,176228,M,19.32,4.14,14.14,2.961140828784372,1.4206957878372228
NEFSC_201902012100040289_166109_2857,NEFSC,NA,GB,201902012100040289,-66.718957,42.111398,2019,166109,M,19.32,4.46,15.08,2.961140828784372,1.4951487660319727
NEFSC_201902011600120286_166167_2845,NEFSC,NA,GB,201902011600120286,-66.180545,42.020828,2019,166167,M,19.63,3.92,14.41,2.9770590082883697,1.366091653802371
NEFSC_201902013510010359_166298_2880,NEFSC,NA,GOM_OFF,201902013510010359,-67.014833,44.363667,2019,166298,M,19.76,4.24,14.05,2.983659692319722,1.4445632692438664
NEFSC_201602012900090268_924511_923,NEFSC,NA,GOM_OFF,201602012900090268,-67.658208,42.712472999999996,2016,924511,M,19.79,4.39,14.05,2.9851767596144745,1.47932922708708
NEFSC_201504014000050422_223953_668,NEFSC,NA,GOM_OFF,201504014000050422,-70.180315,43.224677,2015,223953,M,19.81,4.14,13.31,2.9861868607104594,1.4206957878372228
NEFSC_201902011300080253_166135_2807,NEFSC,NA,GB,201902011300080253,-67.403665,40.696267,2019,166135,M,19.81,4.55,14.28,2.9861868607104594,1.5151272329628591
NEFSC_201704013700040107_84187_2177,NEFSC,NA,GOM_OFF,201704013700040107,-69.749915,43.164285,2017,84187,M,19.88,3.82,14.79,2.989714201228428,1.3402504226184837
NEFSC_201804010200070115_179884_2520,NEFSC,NA,MAB,201804010200070115,-72.703047,39.65208,2018,179884,M,20.01,4.42,14.84,2.996232148595642,1.4861396960896067
NEFSC_201902011300080253_166133_2809,NEFSC,NA,GB,201902011300080253,-67.403665,40.696267,2019,166133,M,20.11,3.48,12.96,3.001217203784561,1.247032293786383
NEFSC_201702013700010360_176218_1978,NEFSC,NA,GOM_OFF,201702013700010360,-69.497132,43.178864999999995,2017,176218,M,20.27,4.64,14.03,3.0091419604639085,1.534714366238164
NEFSC_201602016700010054_925098_693,NEFSC,NA,MAB,201602016700010054,-74.544178,37.210252,2016,925098,M,20.33,4.18,13.69,3.012097627640255,1.430311246536665
NEFSC_201602010200010130_925118_703,NEFSC,NA,MAB,201602010200010130,-72.49629,39.781137,2016,925118,M,20.37,4.15,13.94,3.0140632302387145,1.423108334242607
NEFSC_201902012400030243_166096_2783,NEFSC,NA,GOM_OFF,201902012400030243,-69.67045499999999,41.890612,2019,166096,M,20.39,5.24,15.22,3.015044584586364,1.6563214983329508
NEFSC_201604031400030180_219159_1252,NEFSC,NA,MAB,201604031400030180,-73.774225,40.38178,2016,219159,M,20.41,3.81,13.84,3.0160249768217535,1.3376291891386096
NEFSC_201702013400030350_176223_1940,NEFSC,NA,GOM_OFF,201702013400030350,-67.369765,43.969117,2017,176223,M,20.49,4.45,14.02,3.0199369622508083,1.4929040961781488
NEFSC_201804012400090251_179792_2645,NEFSC,NA,GOM_OFF,201804012400090251,-69.071173,42.168217,2018,179792,M,20.49,4.54,14.59,3.0199369622508083,1.5129270120532565
NEFSC_201602010300040126_925132_702,NEFSC,NA,MAB,201602010300040126,-72.423313,39.269042999999996,2016,925132,M,20.61,4.64,13.78,3.0257763949023677,1.534714366238164
NEFSC_201702016600010026_175783_1633,NEFSC,NA,MAB,201702016600010026,-74.670418,37.19152,2017,175783,M,20.65,3.24,11.84,3.027715319407042,1.1755733298042381
NEFSC_201504012200020304_224358_350,NEFSC,NA,GB,201504012200020304,-66.86743299999999,42.201425,2015,224358,M,20.81,4.38,13.71,3.035433640405543,1.4770487243883548
NEFSC_201702013600060332_175963_1870,NEFSC,NA,GOM_OFF,201702013600060332,-68.088167,42.9715,2017,175963,M,20.84,3.55,14.83,3.0368742168851663,1.2669476034873244
NEFSC_201702012900100329_175952_1864,NEFSC,NA,GOM_OFF,201702012900100329,-67.975167,42.128167,2017,175952,M,20.87,4.66,14.1,3.038312721089109,1.5390154481375546
NEFSC_201902013000010338_166303_2864,NEFSC,NA,GOM_OFF,201902013000010338,-67.166167,42.387167,2019,166303,M,21.03,5.29,15.69,3.0459499897146083,1.665818245870208
NEFSC_201704012400010167_84356_2234,NEFSC,NA,GOM_OFF,201704012400010167,-68.797133,42.111428,2017,84356,M,21.11,4.71,15.42,3.0497468618602293,1.5496879080283263
NEFSC_201602012000020273_924513_927,NEFSC,NA,GB,201602012000020273,-67.702052,41.950747,2016,924513,M,21.15,4.24,16.08,3.0516399054922867,1.4445632692438664
NEFSC_201602013510030330_924918_966,NEFSC,NA,GOM_OFF,201602013510030330,-66.863927,44.265882999999995,2016,924918,M,21.33,4.62,14.38,3.0601145324832593,1.5303947050936475
NEFSC_201902011600120286_166164_2853,NEFSC,NA,GB,201902011600120286,-66.180545,42.020828,2019,166164,M,21.35,4.94,15.18,3.0610517396746335,1.5973653311998313
NEFSC_201602013510010332_924908_973,NEFSC,NA,GOM_OFF,201602013510010332,-67.072733,44.27427,2016,924908,M,21.38,5.12,16.12,3.062455905596899,1.6331544390514163
NEFSC_201702012500040215_175903_1699,NEFSC,NA,GOM_OFF,201702012500040215,-69.216667,41.095166999999996,2017,175903,M,21.41,4.1,15.07,3.0638581026015914,1.410986973710262
NEFSC_201602016600030052_925124_690,NEFSC,NA,MAB,201602016600030052,-74.535533,37.403092,2016,925124,M,21.5,4.8,14.75,3.068052935133617,1.5686159179138452
NEFSC_201604012900010385_219346_1563,NEFSC,NA,GOM_OFF,201604012900010385,-66.890875,42.682233,2016,219346,M,21.57,4.28,15.28,3.071303460401065,1.4539530095937054
NEFSC_201702012500010220_175760_1720,NEFSC,NA,GOM_OFF,201702012500010220,-69.469667,41.459832999999996,2017,175760,M,21.67,4.93,14.92,3.075928815548268,1.5953389880545987
UMES_UMES_201704053_UMES_170616_4836,UMES,MAB,MAB,UMES_201704053,-74.05332,38.10172,2017,UMES_170616,M,21.74,5,14.45,3.0791538816930633,1.6094379124341003
NEFSC_201602013510040329_924896_960,NEFSC,NA,GOM_OFF,201602013510040329,-66.82465499999999,44.303667999999995,2016,924896,M,21.75,5.68,15.43,3.079613757534693,1.7369512327330598
NEFSC_201802031100020073_118767_2255,NEFSC,NA,MAB,201802031100020073,-73.394078,40.427215,2018,118767,M,21.76,5.28,15.83,3.080073421987742,1.6639260977181702
NEFSC_201902013510010359_166296_2882,NEFSC,NA,GOM_OFF,201902013510010359,-67.014833,44.363667,2019,166296,M,21.83,4.75,15.31,3.0832851705618523,1.55814461804655
NEFSC_201804010200070115_179882_2521,NEFSC,NA,MAB,201804010200070115,-72.703047,39.65208,2018,179882,M,21.86,5.03,15.48,3.0846584827483925,1.6154199841116479
NEFSC_201702013400030350_176222_1939,NEFSC,NA,GOM_OFF,201702013400030350,-67.369765,43.969117,2017,176222,M,21.88,4.37,14.98,3.0855729775537806,1.4747630091074988
NEFSC_201802010600040152_118621_2291,NEFSC,NA,SNE_OFF,201802010600040152,-71.77350799999999,40.619975,2018,118621,M,21.88,5.17,14.77,3.0855729775537806,1.6428726885203377
MassDMF_2017_7_5_Mark Benjiman_S070517-01_7791,MassDMF,SNEI,SNE_IN,2017_7_5_Mark Benjiman,-70.8917,41.29154285714286,2017,S070517-01,M,22,4,NA,3.091042453358316,1.3862943611198906
NEFSC_201802010500010065_118613_2253,NEFSC,NA,SNE_IN,201802010500010065,-72.341923,40.797906999999995,2018,118613,M,22.06,4.59,16.29,3.0937660138253564,1.5238800240724537
NEFSC_201504011800030277_224346_327,NEFSC,NA,GB,201504011800030277,-66.415637,41.021533,2015,224346,M,22.18,4.55,14.45,3.099190981922221,1.5151272329628591
NEFSC_201704012100030052_84152_2146,NEFSC,NA,GB,201704012100030052,-66.213233,42.132293,2017,84152,M,22.22,5.1,15.81,3.100992784211484,1.62924053973028
NEFSC_201904017000030140_187923_3012,NEFSC,NA,MAB,201904017000030140,-73.771975,38.627905,2019,187923,M,22.24,5.01,16.07,3.1018924693823817,1.6114359150967734
NEFSC_201902011400050254_166100_2812,NEFSC,NA,GB,201902011400050254,-67.434338,40.532868,2019,166100,M,22.28,4.2,16.1,3.1036894150590832,1.4350845252893227
NEFSC_201902011600120286_166169_2837,NEFSC,NA,GB,201902011600120286,-66.180545,42.020828,2019,166169,M,22.28,5.17,15.66,3.1036894150590832,1.6428726885203377
NEFSC_201804011600130316_179944_2754,NEFSC,NA,GB,201804011600130316,-65.911953,41.873492,2018,179944,M,22.38,5.25,16.02,3.108167702883779,1.6582280766035324
NEFSC_201602012500070383_924826_1193,NEFSC,NA,GOM_IN,201602012500070383,-69.895248,41.980382,2016,924826,M,22.41,4.88,17,3.1095072878128356,1.5851452198650557
NEFSC_201902011800050279_166103_2823,NEFSC,NA,GB,201902011800050279,-65.918258,42.050202,2019,166103,M,22.41,4.91,15.37,3.1095072878128356,1.5912739418064292
NEFSC_201702012700030318_176091_1821,NEFSC,NA,GOM_OFF,201702012700030318,-70.020167,42.546,2017,176091,M,22.45,4.85,14.94,3.1112906141882632,1.5789787049493917
NEFSC_201902012700020397_166224_2962,NEFSC,NA,GOM_OFF,201902012700020397,-69.988333,42.1605,2019,166224,M,22.52,5.46,15.95,3.1144038032714896,1.6974487897568136
NEFSC_201504012600020429_224036_678,NEFSC,NA,GOM_OFF,201504012600020429,-70.369642,42.291402999999995,2015,224036,M,22.55,4.76,14.78,3.1157350659486873,1.5602476682433286
NEFSC_201802011300060178_118617_2311,NEFSC,NA,GB,201802011300060178,-68.023335,40.639803,2018,118617,M,22.55,4.68,17.17,3.1157350659486873,1.5432981099295553
NEFSC_201804010200080114_179864_2516,NEFSC,NA,MAB,201804010200080114,-72.444147,39.859963,2018,179864,M,22.66,5.09,16.18,3.12060125559986,1.6272778305624314
NEFSC_201702017300040099_175880_1640,NEFSC,NA,MAB,201702017300040099,-74.10613699999999,39.040155,2017,175880,M,22.69,5.09,14.83,3.1219242987917504,1.6272778305624314
NEFSC_201504012900120344_224198_402,NEFSC,NA,GOM_OFF,201504012900120344,-68.02132999999999,42.70101,2015,224198,M,22.71,4.86,14.7,3.122805356117467,1.5810384379124025
NEFSC_201902013600030366_166315_2911,NEFSC,NA,GOM_OFF,201902013600030366,-67.86066699999999,43.592667,2019,166315,M,22.71,4.78,16.45,3.122805356117467,1.5644405465033646
NEFSC_201804010200080114_179867_2513,NEFSC,NA,MAB,201804010200080114,-72.444147,39.859963,2018,179867,M,22.74,5.72,16.58,3.12412548832239,1.7439688053917064
NEFSC_201604013400030390_219350_1565,NEFSC,NA,GOM_OFF,201604013400030390,-67.100383,43.899485,2016,219350,M,22.84,5.2,16.05,3.1285133847878095,1.6486586255873816
NEFSC_201704013600020149_84166_2218,NEFSC,NA,GOM_OFF,201704013600020149,-67.281427,42.994397,2017,84166,M,23,5.15,16.54,3.1354942159291497,1.6389967146756448
NEFSC_201904011300100251_187952_3181,NEFSC,NA,GB,201904011300100251,-67.554515,40.750828,2019,187952,M,23.03,5.13,NA,3.136797713832594,1.6351056591826783
NEFSC_201704011800030034_84301_2048,NEFSC,NA,GB,201704011800030034,-66.416095,41.049932999999996,2017,84301,M,23.06,5.13,16.64,3.138099514840913,1.6351056591826783
NEFSC_201902012200010310_166129_2861,NEFSC,NA,GB,201902012200010310,-68.124233,41.94771,2019,166129,M,23.06,4.02,15.52,3.138099514840913,1.3912819026309295
NEFSC_201604012900030249_219417_1323,NEFSC,NA,GOM_OFF,201604012900030249,-67.953375,42.305263,2016,219417,M,23.08,5.52,17.93,3.138966441639899,1.7083778602890038
NEFSC_201602011700020293_924744_939,NEFSC,NA,GB,201602011700020293,-66.473705,41.037765,2016,924744,M,23.18,5.69,17.04,3.1432898379116057,1.7387102481382397
NEFSC_201604011000090202_219165_1264,NEFSC,NA,SNE_OFF,201604011000090202,-69.807487,40.499623,2016,219165,M,23.36,4.92,15.24,3.151025157960026,1.5933085305042167
NEFSC_201802013700010248_118641_2363,NEFSC,NA,GOM_OFF,201802013700010248,-68.692813,43.293057999999995,2018,118641,M,23.49,5.11,16.42,3.1565747986708215,1.631199404215613
NEFSC_201504013510040336_224262_377,NEFSC,NA,GOM_OFF,201504013510040336,-66.700873,44.273022999999995,2015,224262,M,23.53,4.94,16.3,3.158276202739271,1.5973653311998313
NEFSC_201602011700020293_924745_940,NEFSC,NA,GB,201602011700020293,-66.473705,41.037765,2016,924745,M,23.54,5.64,15.95,3.1587011018321305,1.7298840655099674
NEFSC_201602032600020040_925086_687,NEFSC,NA,MAB,201602032600020040,-74.83407199999999,38.577217,2016,925086,M,23.66,5.11,16.5,3.1637858585502405,1.631199404215613
NEFSC_201902011600120286_166168_2840,NEFSC,NA,GB,201902011600120286,-66.180545,42.020828,2019,166168,M,23.68,5.51,16.45,3.164630810015805,1.706564623164823
NEFSC_201804012000010259_179738_2673,NEFSC,NA,GB,201804012000010259,-67.914397,41.77437,2018,179738,M,23.7,5.56,17.12,3.1654750481410856,1.715598108262491
NEFSC_201702011000050187_175857_1655,NEFSC,NA,SNE_OFF,201702011000050187,-69.59700000000001,40.530333,2017,175857,M,23.72,5.29,15.88,3.1663185741295248,1.665818245870208
NEFSC_201802011300060178_118618_2310,NEFSC,NA,GB,201802011300060178,-68.023335,40.639803,2018,118618,M,23.93,5.28,17.74,3.175132901920282,1.6639260977181702
NEFSC_201504012100030306_224341_351,NEFSC,NA,GB,201504012100030306,-66.530615,42.088415,2015,224341,M,23.94,4.79,15.78,3.1755507001298273,1.5665304114228238
NEFSC_201602035900030393_924844_1203,NEFSC,NA,GOM_IN,201602035900030393,-70.56089,42.036502999999996,2016,924844,M,23.95,5.37,16.62,3.175968323856924,1.6808279085207734
NEFSC_201902012100040289_166110_2856,NEFSC,NA,GB,201902012100040289,-66.718957,42.111398,2019,166110,M,24.02,4.92,15.45,3.1788868166518376,1.5933085305042167
NEFSC_201602013510010332_924909_974,NEFSC,NA,GOM_OFF,201602013510010332,-67.072733,44.27427,2016,924909,M,24.03,4.94,16.75,3.1793030497483774,1.5973653311998313
NEFSC_201804010200080114_179866_2519,NEFSC,NA,MAB,201804010200080114,-72.444147,39.859963,2018,179866,M,24.37,5.35,16.44,3.193352867637115,1.6770965609079151
NEFSC_201804012700010289_179573_2722,NEFSC,NA,GOM_OFF,201804012700010289,-70.27434699999999,42.926935,2018,179573,M,24.38,4.92,16.84,3.1937631240531252,1.5933085305042167
NEFSC_201602016600030052_925125_692,NEFSC,NA,MAB,201602016600030052,-74.535533,37.403092,2016,925125,M,24.45,5.28,16.35,3.196630215920881,1.6639260977181702
UMES_UMES_201704053_UMES_170618_4834,UMES,MAB,MAB,UMES_201704053,-74.05332,38.10172,2017,UMES_170618,M,24.68,5.63,16.4,3.205993199037187,1.728109442151599
NEFSC_201704011800040035_84264_2122,NEFSC,NA,GB,201704011800040035,-66.281325,41.1837,2017,84264,M,24.9,5.3,18.63,3.214867803470662,1.667706820558076
NEFSC_201904011200010224_187921_3075,NEFSC,NA,SNE_OFF,201904011200010224,-68.879733,40.09297,2019,187921,M,25.11,5.63,17.84,3.2232661731694936,1.728109442151599
NEFSC_201702011300090205_175763_1698,NEFSC,NA,GB,201702011300090205,-68.750333,40.349833,2017,175763,M,25.15,5.98,17.74,3.224857896545748,1.7884205679625405
NEFSC_201804010200080114_179863_2515,NEFSC,NA,MAB,201804010200080114,-72.444147,39.859963,2018,179863,M,25.21,5.82,16.88,3.2272407411998283,1.7613002617433464
NEFSC_201504013800080416_223947_636,NEFSC,NA,GOM_OFF,201504013800080416,-69.185823,43.559165,2015,223947,M,25.35,5.24,15.9,3.232778730037192,1.6563214983329508
NEFSC_201704012900110054_84106_2149,NEFSC,NA,GOM_OFF,201704012900110054,-66.60408699999999,42.221537,2017,84106,M,25.43,4.97,17.02,3.2359295794340284,1.6034198401085373
NEFSC_201504012900120344_224197_403,NEFSC,NA,GOM_OFF,201504012900120344,-68.02132999999999,42.70101,2015,224197,M,25.59,6.63,17.51,3.2422016501716975,1.891604804197771
NEFSC_201904017300040142_187922_3013,NEFSC,NA,MAB,201904017300040142,-73.852352,38.834675,2019,187922,M,25.69,5.95,18.13,3.2461018111217923,1.7833912195575383
NEFSC_201602016700010054_925097_694,NEFSC,NA,MAB,201602016700010054,-74.544178,37.210252,2016,925097,M,25.75,5.49,16.4,3.248434627109745,1.7029282555214393
NEFSC_201604013600090361_219051_1506,NEFSC,NA,GOM_OFF,201604013600090361,-68.373753,42.805212999999995,2016,219051,M,26.02,5.19,16.92,3.2588654730843594,1.6467336971777973
NEFSC_201804035900010301_179579_2740,NEFSC,NA,GOM_IN,201804035900010301,-70.355358,41.841403,2018,179579,M,26.02,5.6,18.29,3.2588654730843594,1.7227665977411035
NEFSC_201804012000010259_179741_2674,NEFSC,NA,GB,201804012000010259,-67.914397,41.77437,2018,179741,M,26.03,6.19,18.49,3.259249719006474,1.8229350866965048
NEFSC_201802016800010047_118607_2249,NEFSC,NA,MAB,201802016800010047,-74.710515,37.107327999999995,2018,118607,M,26.12,5.56,19.68,3.2627013044082305,1.715598108262491
NEFSC_201702013510020349_175947_1936,NEFSC,NA,GOM_OFF,201702013510020349,-67.092928,44.260608,2017,175947,M,26.23,5.14,17.93,3.2669037938787824,1.6370530794670737
